symbol,SAcode
3690.HK,MPNGF
JD.US,JD
9618.HK,JD
PDD.US,PDD
BABA.US,BABA
9988.HK,BABA
1024.HK,KUASF
0700.HK,TCEHY
NTES.US,NTES
BILI.US,BILI
BIDU.US,BIDU
9888.HK,BIDU
BEKE.US,BEKE
LI.US,LI
NIO.US,NIO
XPEV.US,XPEV
1211.HK,BYDDF
0631.HK,SNYYF
2318.HK,PNGAY
1299.HK,AAGIY
FUTU.US,FUTU
0388.HK,HKXCF
0005.HK,HSBC
3968.HK,CIHKY
1810.HK,XIACF
1458.HK,
2020.HK,ANPDY
2331.HK,LNNGF
0883.HK,CEOHF
0857.HK,PCCYF
0386.HK,SNPMF
TSM.US,TSM
0981.HK,SIUIF
2899.HK,ZIJMF
1378.HK,CHHQF
0941.HK,CHL
0823.HK,LKREF
AMZN.US,AMZN
NFLX.US,NFLX
META.US,META
GOOGL.US,GOOGL
MSFT.US,MSFT
ORCL.US,ORCL
AI.US,AI
DDOG.US,DDOG
ZS.US,ZS
ADBE.US,ADBE
CRM.US,CRM
ABNB.US,ABNB
AAPL.US,AAPL
DIS.US,DIS
MGM.US,MGM
CCL.US,CCL
MAR.US,MAR
MU.US,MU
AMD.US,AMD
NVDA.US,NVDA
INTC.US,INTC
QCOM.US,QCOM
JPM.US,JPM
WFC.US,WFC
PYPL.US,PYPL
SQ.US,SQ
TSLA.US,TSLA
BA.US,BA
FCX.US,FCX
C38U.SI,C38U
A17U.SI,A17U
N2IU.SI,N2IU
SE.US,SE
1368.HK,XTEPY
2171.HK,CRTHF
NKE.US,NKE
ZM.US,ZM
UBER.US,UBER
WMT.US,WMT
COST.US,COST
2359.HK,WUXIF
2333.HK,GWLLF
2269.HK,WXXWY
T.US,T
PFE.US,PFE
0017.HK,
0016.HK,
0175.HK,
DTE.GY,DTE
ANTHROPIC.COM,ANTHROPIC
OPENAI.COM,OPENAI
XHS.COM,XHS
BYTEDANCE.COM,BYTEDANCE
HRZROBOT.COM,HRZROBOT
SHEIN.COM,SHEIN
9999.HK,
9866.HK,NIO
SHOP.US,SHOP
SPOT.US,SPOT
AMC.US,AMC
ARKK.US,ARKK
ARKG.US,ARKG
ARKF.US,ARKF
AA.US,AA
GOOG.US,GOOG
AAL.US,AAL
AMAT.US,AMAT
TEAM.US,TEAM
BYND.US,BYND
BNTX.US,BNTX
CZR.US,CZR
CAT.US,CAT
CVX.US,CVX
C.US,C
KO.US,KO
COIN.US,COIN
CRWD.US,CRWD
DAL.US,DAL
DASH.US,DASH
DBX.US,DBX
ETSY.US,ETSY
FFIE.US,FFIE
F.US,F
YMM.US,YMM
GM.US,GM
GILD.US,GILD
GS.US,GS
ILMN.US,ILMN
IBKR.US,IBKR
ISRG.US,ISRG
K.US,K
KWEB.US,KWEB
LVS.US,LVS
LYFT.US,LYFT
MA.US,MA
MCD.US,MCD
MRNA.US,MRNA
MS.US,MS
NVAX.US,NVAX
PLTR.US,PLTR
HOOD.US,HOOD
RBLX.US,RBLX
ROKU.US,ROKU
GLD.US,GLD
NOW.US,NOW
SNAP.US,SNAP
SNOW.US,SNOW
SBUX.US,SBUX
TEF.US,TEF
TXN.US,TXN
UAL.US,UAL
X.US,X
U.US,U
GDX.US,GDX
V.US,V
D01.SI,D01
AJBU.SI,AJBU
S68.SI,S68
D05.SI,D05
O39.SI,O39
F34.SI,F34
Z74.SI,Z74
BN4.SI,BN4
C6L.SI,C6L
005930.KS,
2502.JT,
9984.JT,
6902.JT,
7203.JP,
7201.JP,
9201.JT,
8604.JP,
6501.JT,
6954.JT,
6702.JT,
7267.JT,
0384.HK,
1193.HK,
8083.HK,
0636.HK,
2689.hK,
3988.HK,
0694.HK,
1919.HK,
2628.HK,
0728.HK,
1398.HK,
0763.HK,
2328.HK,
0916.HK,
2238.HK,
1288.HK,
6030.HK,
2202.HK,
6865.HK,
6060.HK,
1772.HK,
6185.HK,
9633.HK,
0762.HK,
0002.HK,
0003.HK,
0006.HK,
0011.HK,
0027.HK,
0066.HK,
0293.HK,
0688.HK,
0836.HK,
2388.HK,
6993.HK,
1109.HK,
3333.HK,
0001.HK,
1113.HK,
6098.HK,
2018.HK,
9698.HK,
6862.HK,
6618.HK,
2618.HK,
9922.HK,
2015.HK,
0960.HK,
0853.HK,
0909.HK,
9992.HK,
1928.HK,
6969.HK,
2382.HK,
9868.HK,
2013.HK,
CSGN.SW,CSGN
UBSG.SW,UBSG
SAP.GY,SAP
SIE.GY,SIE
VOW3.GY,VOW3
ALV.GY,ALV
BAYN.GY,BAYN
PAH3.GY,PAH3
RMS.FP,RMS
TTE.FP,TTE
OR.FP,OR
SAN.FP,SAN
CS.FP,CS
MC.FP,MC
AZN.LN,AZN
RTN.LN,RTN
GSK.LN,GSK
AIR.FP,AIR
ASML.NA,ASML
RACE.IM,RACE
INGA.NA,INGA
GDS.US,GDS
MOMO.US,MOMO
HUYA.US,HUYA
IMAB.US,IMAB
IQ.US,IQ
KC.US,KC
EDU.US,EDU
QD.US,QD
TAL.US,TAL
TME.US,TME
VIPS.US,VIPS
YSG.US,YSG
ARM.US,ARM