RMS.FP,爱马仕HERMES,Others,FR0000052292,RMS FP,RMS,,HRMS.PA,HRMS.PA,beadc816-d481-11d5-8f83-f03a82eb7e91,EURONEXT,98
TTE.FP,TOTALENERGIES SE,Others,FR0000120271,TTE FP,TTE,,TTEF.PA,TTEF.PA,,EURONEXT,
OR.FP,欧莱雅L'OREAL,Others,FR0000120321,OR FP,OR,,OREP.PA,OREP.PA,,EURONEXT,
SAN.FP,SANOFI,Others,FR0000120578,SAN FP,SAN,,SANY.PA,SANY.PA,,EURONEXT,
CS.FP,安盛AXA,Others,FR0000120628,CS FP,CS,,AXAF.PA,AXAF.PA,,EURONEXT,
MC.FP,LVMH路易威登,Others,FR0000121014,MC FP,MC,,LVMH.PA,LVMH.PA,c9fd87e2-d481-11d5-8f83-f03a82eb7e91,EURONEXT,186
AIR.FP,空中客车AIRBUS,Others,NL0000235190,AIR FP,AIR,,AIRF.PA,AIRF.PA,,EURONEXT,199
RACE.IM,法拉利FERRARI,Others,NL0011585146,RACE IM,RACE,,RACE.N,RACE.N,,EURONEXT,
INGA.NA,ING荷兰国际集团,Others,NL0011821202,INGA NA,INGA,,INGA.AS,INGA.AS,,EURONEXT,112
BNP.FP,巴黎银行集团,Others,,BNP FP,BNP,,BNPP.PA,BNPP.PA,,EURONEXT,157
3690.HK,美团,Hong Kong,KYG596691041,3690 HK,3690,MPNGF,3690.HK,3690.HK,,HKSE,21
1024.HK,快手,Hong Kong,KYG532631028,1024 HK,1024,KUASF,1024.HK,1024.HK,,HKSE,26
0700.HK,腾讯控股,Hong Kong,KYG875721634,700 HK,0700,TCEHY,0700.HK,0700.HK,,HKSE,14
1211.HK,比亚迪,Hong Kong,0,1211 HK,1211,BYDDF,1211.HK,1211.HK,,HKSE,30
0631.HK,三一国际,Hong Kong,KYG781631059,631 HK,0631,SNYYF,0631.HK,0631.HK,,HKSE,
2318.HK,中国平安,Hong Kong,CNE1000003X6,2318 HK,2318,PNGAY,2318.HK,2318.HK,,HKSE,51
1299.HK,友邦保险,Hong Kong,HK0000069689,1299 HK,1299,AAGIY,1299.HK,1299.HK,,HKSE,25
0388.HK,香港交易所,Hong Kong,HK0388045442,388 HK,0388,HKXCF,0388.HK,0388.HK,,HKSE,35
0005.HK,汇丰控股,Hong Kong,ARDEUT112257,5 HK,0005,HSBC,0005.HK,0005.HK,,HKSE,10
3968.HK,招商银行,Hong Kong,CNE1000002M1,3968 HK,3968,CIHKY,3968.HK,3968.HK,,HKSE,69
1810.HK,小米集团,Hong Kong,0,1810 HK,1810,XIACF,1810.HK,1810.HK,,HKSE,40
1458.HK,周黑鸭,Hong Kong,KYG989761062,1458 HK,1458,,1458.HK,1458.HK,,HKSE,
2020.HK,安踏体育,Hong Kong,KYG040111059,2020 HK,2020,ANPDY,2020.HK,2020.HK,,HKSE,156
2331.HK,李宁,Hong Kong,KYG5496K1242,2331 HK,2331,LNNGF,2331.HK,2331.HK,,HKSE,88
0883.HK,中国海洋石油,Hong Kong,HK0883013259,883 HK,0883,CEOHF,0883.HK,0883.HK,,HKSE,71
0857.HK,中国石油股份,Hong Kong,CNE1000003W8,857 HK,0857,PCCYF,0857.HK,0857.HK,,HKSE,
0386.HK,中石化,Hong Kong,CNE1000002Q2,386 HK,0386,SNPMF,0386.HK,0386.HK,,HKSE,
0981.HK,中芯国际,Hong Kong,KYG8020E1199,981 HK,0981,SIUIF,0981.HK,0981.HK,,HKSE,118
2899.HK,紫金矿业,Hong Kong,CNE100000502,2899 HK,2899,ZIJMF,2899.HK,2899.HK,,HKSE,
1378.HK,中国宏桥,Hong Kong,KYG211501005,1378 HK,1378,CHHQF,1378.HK,1378.HK,,HKSE,120
0941.HK,中国移动,Hong Kong,HK0941009539,941 HK,0941,CHL,0941.HK,0941.HK,,HKSE,114
0823.HK,领展房产基金,Hong Kong,HK0823032773,823 HK,0823,LKREF,0823.HK,0823.HK,,HKSE,
1368.HK,特步,Hong Kong,KYG982771092,1368 HK,1368,XTEPY,1368.HK,1368.HK,,HKSE,
2171.HK,科济药业,Hong Kong,KYG1996C1006,2171 HK,2171,CRTHF,2171.HK,2171.HK,,HKSE,
2359.HK,药明康德,Hong Kong,CNE100003F19,2359 HK,2359,WUXIF,2359.HK,2359.HK,,HKSE,
2333.HK,长城汽车,Hong Kong,CNE100000338,2333 HK,2333,GWLLF,2333.HK,2333.HK,,HKSE,
2269.HK,药明生物,Hong Kong,KYG970081090,2269 HK,2269,WXXWY,2269.HK,2269.HK,,HKSE,74
0017.HK,新世界发展,Hong Kong,,17 HK,0017,,0017.HK,0017.HK,,HKSE,
0016.HK,新鸿基地产,Hong Kong,,16 HK,0016,,0016.HK,0016.HK,,HKSE,
0175.HK,吉利汽车,Hong Kong,,175 HK,0175,,0175.HK,0175.HK,,HKSE,93
0384.HK,CHINA GAS HOLDINGS LTD,Hong Kong,BMG2109G1033,384 HK,0384,,0384.HK,0384.HK,,HKSE,
1193.HK,CHINA RESOURCES GAS GROUP LT,Hong Kong,BMG2113B1081,1193 HK,1193,,1193.HK,1193.HK,,HKSE,
8083.HK,CHINA YOUZAN LTD,Hong Kong,BMG2164J1099,8083 HK,8083,,8083.HK,8083.HK,,HKSE,
0636.HK,KERRY LOGISTICS 嘉里物流,Hong Kong,BMG524181036,636 HK,0636,,0636.HK,0636.HK,,HKSE,
2689.HK,NINE DRAGONS PAPER HOLDINGS,Hong Kong,BMG653181005,2689 hK,2689,,2689.HK,2689.HK,,HKSE,
3988.HK,中国银行,Hong Kong,CNE1000001Z5,3988 HK,3988,,3988.HK,3988.HK,,HKSE,189
0694.HK,BEIJING CAPITAL INTL AIRPO-H,Hong Kong,CNE100000221,694 HK,0694,,0694.HK,0694.HK,,HKSE,
1919.HK,COSCO海运,Hong Kong,CNE1000002J7,1919 HK,1919,,1919.HK,1919.HK,,HKSE,
2628.HK,中国人寿,Hong Kong,CNE1000002L3,2628 HK,2628,,2628.HK,2628.HK,,HKSE,67
0728.HK,中国电信,Hong Kong,CNE1000002V2,728 HK,0728,,0728.HK,0728.HK,,HKSE,
1398.HK,中国工商银行,Hong Kong,CNE1000003G1,1398 HK,1398,,1398.HK,1398.HK,,HKSE,56
0763.HK,ZTE CORP-H,Hong Kong,CNE1000004Y2,763 HK,0763,,0763.HK,0763.HK,,HKSE,
2328.HK,PICC PROPERTY & CASUALTY-H,Hong Kong,CNE100000593,2328 HK,2328,,2328.HK,2328.HK,,HKSE,
0916.HK,CHINA LONGYUAN POWER GROUP-H,Hong Kong,CNE100000HD4,916 HK,0916,,0916.HK,0916.HK,,HKSE,
2238.HK,广汽集团,Hong Kong,CNE100000Q35,2238 HK,2238,,2238.HK,2238.HK,,HKSE,
1288.HK,AGRICULTURAL BANK OF CHINA-H,Hong Kong,CNE100000Q43,1288 HK,1288,,1288.HK,1288.HK,,HKSE,
6030.HK,CITIC中信证券,Hong Kong,CNE1000016V2,6030 HK,6030,,6030.HK,6030.HK,,HKSE,135
2202.HK,CHINA VANKE CO LTD-H,Hong Kong,CNE100001SR9,2202 HK,2202,,2202.HK,2202.HK,,HKSE,
6865.HK,FLAT GLASS GROUP CO LTD-H,Hong Kong,CNE100002375,6865 HK,6865,,6865.HK,6865.HK,,HKSE,
6060.HK,ZHONGAN ONLINE P&C INSURAN-H,Hong Kong,CNE100002QY7,6060 HK,6060,,6060.HK,6060.HK,,HKSE,
6185.HK,CANSINO BIOLOGICS INC-H,Hong Kong,CNE100003F01,6185 HK,6185,,6185.HK,6185.HK,,HKSE,
0762.HK,中国联通,Hong Kong,HK0000049939,762 HK,0762,,0762.HK,0762.HK,,HKSE,
0002.HK,CLP中电控股,Hong Kong,HK0002007356,2 HK,0002,,0002.HK,0002.HK,,HKSE,73
0003.HK,HONG KONG & CHINA GAS,Hong Kong,HK0003000038,3 HK,0003,,0003.HK,0003.HK,,HKSE,
0006.HK,电能实业,Hong Kong,HK0006000050,6 HK,0006,,0006.HK,0006.HK,,HKSE,126
0011.HK,HANG SENG 恒生银行,Hong Kong,HK0011000095,11 HK,0011,,0011.HK,0011.HK,,HKSE,
0027.HK,Galaxy银河娱乐,Hong Kong,HK0027032686,27 HK,0027,,0027.HK,0027.HK,,HKSE,160
0066.HK,MTR CORP,Hong Kong,HK0066009694,66 HK,0066,,0066.HK,0066.HK,,HKSE,137
0293.HK,国泰航空CATHAY PACIFIC,Hong Kong,HK0293001514,293 HK,0293,,0293.HK,0293.HK,,HKSE,
0688.HK,中国海外投资,Hong Kong,HK0688002218,688 HK,0688,,0688.HK,0688.HK,,HKSE,164
0836.HK,CHINA RESOURCES POWER HOLDIN,Hong Kong,HK0836012952,836 HK,0836,,0836.HK,0836.HK,,HKSE,
2388.HK,中国银行,Hong Kong,HK2388011192,2388 HK,2388,,2388.HK,2388.HK,,HKSE,103
6993.HK,BLUE MOON GROUP HOLDINGS LTD,Hong Kong,KYG1193D1097,6993 HK,6993,,6993.HK,6993.HK,,HKSE,
1109.HK,CHINA RESOURCES LAND LTD,Hong Kong,KYG2108Y1052,1109 HK,1109,,1109.HK,1109.HK,,HKSE,
3333.HK,CHINA EVERGRANDE GROUP,Hong Kong,KYG2119W1069,3333 HK,3333,,3333.HK,3333.HK,,HKSE,
0001.HK,CK长江和记实业,Hong Kong,KYG217651051,1 HK,0001,,0001.HK,0001.HK,,HKSE,97
1113.HK,CK长江和记置业,Hong Kong,KYG2177B1014,1113 HK,1113,,1113.HK,1113.HK,,HKSE,198
6098.HK,COUNTRY GARDEN SERVICES HOLD,Hong Kong,KYG2453A1085,6098 HK,6098,,6098.HK,6098.HK,,HKSE,
2018.HK,AAC TECHNOLOGIES HOLDINGS IN,Hong Kong,KYG2953R1149,2018 HK,2018,,2018.HK,2018.HK,,HKSE,
9698.HK,GDS HOLDINGS LTD-CL A,Hong Kong,KYG3902L1095,9698 HK,9698,,9698.HK,9698.HK,,HKSE,
6862.HK,海底捞,Hong Kong,KYG4290A1013,6862 HK,6862,,6862.HK,6862.HK,,HKSE,117
6618.HK,京东健康,Hong Kong,KYG5074A1004,6618 HK,6618,,6618.HK,6618.HK,,HKSE,86
2618.HK,JD LOGISTICS INC,Hong Kong,KYG5074S1012,2618 HK,2618,,2618.HK,2618.HK,,HKSE,
9922.HK,JIUMAOJIU INTERNATIONAL HOLD,Hong Kong,KYG5141L1059,9922 HK,9922,,9922.HK,9922.HK,,HKSE,
0960.HK,LONGFOR GROUP HOLDINGS LTD,Hong Kong,KYG5635P1090,960 HK,0960,,0960.HK,0960.HK,,HKSE,
0853.HK,MICROPORT SCIENTIFIC CORP,Hong Kong,KYG608371046,853 HK,0853,,0853.HK,0853.HK,,HKSE,
0909.HK,MING YUAN CLOUD GROUP HOLDIN,Hong Kong,KYG6142R1092,909 HK,0909,,0909.HK,0909.HK,,HKSE,
9992.HK,POP MART INTERNATIONAL GROUP,Hong Kong,KYG7170M1033,9992 HK,9992,,9992.HK,9992.HK,,HKSE,
1928.HK,SANDS CHINA LTD,Hong Kong,KYG7800X1079,1928 HK,1928,,1928.HK,1928.HK,,HKSE,
6969.HK,SMOORE INTERNATIONAL HOLDING,Hong Kong,KYG8245V1023,6969 HK,6969,,6969.HK,6969.HK,,HKSE,
2382.HK,SUNNY OPTICAL TECH,Hong Kong,KYG8586D1097,2382 HK,2382,,2382.HK,2382.HK,,HKSE,82
9868.HK,XPENG INC - CLASS A SHARES,Hong Kong,KYG982AW1003,9868 HK,9868,,9868.HK,9868.HK,,HKSE,
2013.HK,WEIMOB INC,Hong Kong,KYG9T20A1060,2013 HK,2013,,2013.HK,2013.HK,,HKSE,
1519.HK,J&T极兔快递,Hong Kong,,1519 HK,1519,,1519.HK,1519.HK,,HKSE,
2822.HK,第一太平有限公司,Hong Kong,,2822 HK,2822,,2822.HK,2822.HK,,HKSE,39
3033.HK,恒大集团,Hong Kong,,3033 HK,3033,,3033.HK,3033.HK,,HKSE,42
9626.HK,中国人寿,Hong Kong,,9626 HK,9626,,9626.HK,9626.HK,,HKSE,44
1801.HK,中国通信服务,Hong Kong,,1801 HK,1801,,1801.HK,1801.HK,,HKSE,115
6066.HK,CSC Financial,Hong Kong,,6066 HK,6066,,6066.HK,6066.HK,,HKSE,141
9633.HK,农夫山泉,Hong Kong,,9633 HK,9633,,9633.HK,9633.HK,,HKSE,143
1772.HK,赣锋锂业,Hong Kong,,1772 HK,1772,,1772.HK,1772.HK,,HKSE,145
2601.HK,中国太平洋保险,Hong Kong,,2601 HK,2601,,2601.HK,2601.HK,,HKSE,147
1336.HK,新中国人寿,Hong Kong,,1336 HK,1336,,1336.HK,1336.HK,,HKSE,158
6886.HK,华泰证券,Hong Kong,,6886 HK,6886,,6886.HK,6886.HK,,HKSE,168
1988.HK,民生银行,Hong Kong,,1988 HK,1988,,1988.HK,1988.HK,,HKSE,171
0939.HK,CCB 建设银行,Hong Kong,,939 HK,0939,,0939.HK,0939.HK,,HKSE,176
2313.HK,神州集团,Hong Kong,,2313 HK,2313,,2313.HK,2313.HK,,HKSE,182
1658.HK,邮储银行,Hong Kong,,1658 HK,1658,,1658.HK,1658.HK,,HKSE,188
1138.HK,COSCO能源运输,Hong Kong,,1138 HK,1138,,1138.HK,1138.HK,,HKSE,194
1339.HK,中国人保,Hong Kong,,1339 HK,1339,,1339.HK,1339.HK,,HKSE,196
2502.JT,ASAHI GROUP HOLDINGS LTD,Japan,JP3116000005,2502 JT,2502,,2502.T,2502.T,,JPX,
9984.JT,SOFTBANK软银集团,Japan,JP3436100006,9984 JT,9984,,9984.T,9984.T,,JPX,
6902.JT,DENSO CORP,Japan,JP3551500006,6902 JT,6902,,6902.T,6902.T,,JPX,
7203.JP,丰田汽车TOYOTA,Japan,JP3633400001,7203 JP,7203,,7203.T,7203.T,,JPX,
7201.JP,尼桑汽车NISSAN,Japan,JP3672400003,7201 JP,7201,,7201.T,7201.T,,JPX,
9201.JT,日本航空JA,Japan,JP3705200008,9201 JT,9201,,9201.T,9201.T,,JPX,
8604.JP,野村证券Nomura,Japan,JP3762600009,8604 JP,8604,,8604.T,8604.T,,JPX,
6501.JT,HITACHI LTD,Japan,JP3788600009,6501 JT,6501,,6501.T,6501.T,,JPX,
6954.JT,FANUC CORP,Japan,JP3802400006,6954 JT,6954,,6954.T,6954.T,,JPX,
6702.JT,FUJITSU LIMITED,Japan,JP3818000006,6702 JT,6702,,6702.T,6702.T,,JPX,
7267.JT,HONDA MOTOR CO LTD,Japan,JP3854600008,7267 JT,7267,,7267.T,7267.T,,JPX,
8316.JT,三井住友,Japan,,8316 JT,8316,,8316.T,8316.T,,JPX,29
8411.JT,Mizuho瑞穗金融,Japan,,8411 JT,8411,,8411.T,8411.T,,JPX,52
8031.JT,三菱UFJ金融,Japan,,8031 JT,8031,,8031.T,8031.T,,JPX,55
8053.JT,新生银行株式会社,Japan,,8053 JT,8053,,8053.T,8053.T,,JPX,72
8002.JT,Mitsui Fudosan 三井不动产,Japan,,8002 JT,8002,,8002.T,8002.T,,JPX,99
8697.JT,日本交易所,Japan,,8697 JT,8697,,8697.T,8697.T,,JPX,123
8001.JT,ITOCHU伊藤忠,Japan,,8001 JT,8001,,8001.T,8001.T,,JPX,146
8410.JT,三井住友信托,Japan,,8410 JT,8410,,8410.T,8410.T,,JPX,167
9020.JT,东日本旅客铁路,Japan,,9020 JT,9020,,9020.T,9020.T,,JPX,170
005930.KS,三星电子,Korean,KR7005930003,005930 KS,005930,,005930.KS,005930.KS,,KSC,
AZN.LN,ASTRAZENECA PLC,Others,GB0009895292,AZN LN,AZN,,AZN.L,AZN.L,,LSE,
RTN.LN,RESTAURANT GROUP PLC,Others,GB00B0YG1K06,RTN LN,RTN,,,,,LSE,
GSK.LN,GSK,Others,GB00BN7SWP63,GSK LN,GSK,,GSK.L,GSK.L,,LSE,
BARC.LN,Barclays巴克莱,Others,,BARC LN,BARC,,BARC.L,BARC.L,,LSE,121
SPT.US,Sprout,Singapore,,SPT US,SPT,,SPT.O,SPT.O,,NASDAQ,53
JD.US,京东,US,US47215P1066,JD US,JD,JD,JD.O,JD.O,,NASDAQ,24
PDD.US,拼多多,US,US7223041028,PDD US,PDD,PDD,PDD.O,PDD.O,,NASDAQ,11
NTES.US,网易,US,US64110W1027,NTES US,NTES,NTES,NTES.O,NTES.O,,NASDAQ,
BILI.US,哔哩哔哩,US,US0900401060,BILI US,BILI,BILI,BILI.O,BILI.O,,NASDAQ,
BIDU.US,百度,US,US0567521085,BIDU US,BIDU,BIDU,BIDU.O,BIDU.O,,NASDAQ,34
LI.US,理想汽车,US,US50202M1027,LI US,LI,LI,LI.O,LI.O,,NASDAQ,92
FUTU.US,富途,US,US36118L1061,FUTU US,FUTU,FUTU,FUTU.O,FUTU.O,,NASDAQ,28
AMZN.US,Amazon,US,US0231351067,AMZN US,AMZN,AMZN,AMZN.O,AMZN.O,,NASDAQ,20
NFLX.US,Netflix,US,US64110L1061,NFLX US,NFLX,NFLX,NFLX.O,NFLX.O,,NASDAQ,47
META.US,Meta Platforms,US,US30303M1027,META US,META,META,META.O,META.O,,NASDAQ,19
GOOGL.US,Alphabet,US,US02079K3059,GOOGL US,GOOGL,GOOGL,GOOGL.O,GOOGL.O,,NASDAQ,4
MSFT.US,微软Microsoft,US,US5949181045,MSFT US,MSFT,MSFT,MSFT.O,MSFT.O,,NASDAQ,8
DDOG.US,Datadog,US,US23804L1035,DDOG US,DDOG,DDOG,DDOG.O,DDOG.O,,NASDAQ,
